derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,income,applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race_observed,applicant_sex,applicant_sex_observed,applicant_age,applicant_age_above_62,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage
Not Hispanic or Latino,White,Joint,1,525000,6.625,585000,152,3,2,,2,5,,,2,1,2,45-54,No,4124,29.17,75500,103
Hispanic or Latino,White,Male,1,265000,5.875,275000,176,2,1,,2,5,,,2,1,2,35-44,No,8264,51.23,89300,94
Not Hispanic or Latino,White,Joint,1,275000,6.99,425000,124,9,2,,2,5,,,2,1,2,55-64,No,2968,41.98,81700,87
Hispanic or Latino,White,Joint,1,305000,5.875,335000,89,1,1,,2,5,,,2,1,2,35-44,No,20548,92.64,63100,159
Not Hispanic or Latino,Asian,Female,1,205000,6.375,365000,60,2,2,,2,2,,,2,2,2,45-54,No,4960,80.06,101800,146
Not Hispanic or Latino,White,Joint,1,95000,6.875,345000,55,9,2,,2,5,,,2,2,2,65-74,Yes,3781,79.34,110300,69
Not Hispanic or Latino,White,Joint,1,345000,5.99,335000,84,3,2,,2,5,,,2,1,2,25-34,No,4283,35.91,113700,86
Hispanic or Latino,White,Female,1,195000,5.99,195000,64,2,1,,2,5,,,2,2,2,35-44,No,5419,95.04,63100,97
Hispanic or Latino,White,Male,1,95000,6.49,125000,116,3,1,11,2,5,,,2,1,2,35-44,No,2509,23.24,75500,138
Hispanic or Latino,White,Joint,1,285000,5.99,285000,72,9,1,,2,5,,,2,1,2,55-64,No,5191,96.38,63100,72
Not Hispanic or Latino,White,Female,1,425000,7.125,455000,156,3,2,,2,5,,,2,2,2,>74,Yes,3004,71.3,110300,68
Hispanic or Latino,White,Female,1,215000,6.625,215000,96,1,1,,2,5,,,2,2,2,<25,No,5156,92.69,63100,99
Not Hispanic or Latino,White,Male,1,215000,9.125,1075000,293,2,2,,2,5,,,2,1,2,45-54,No,5438,53.95,119500,88
Not Hispanic or Latino,White,Joint,1,805000,7.125,945000,465,3,2,,2,5,,,2,1,2,35-44,No,4929,23.62,110300,171
Not Hispanic or Latino,Asian,Male,1,235000,5.875,245000,100,2,2,,2,2,,,2,1,2,55-64,No,4731,42.04,101800,90
Joint,Race Not Available,Joint,1,555000,5.625,575000,203,3,1,,2,6,,,2,1,2,25-34,No,4579,76.65,113700,150
Hispanic or Latino,White,Male,1,165000,6.875,465000,173,3,1,,2,5,,,2,1,2,25-34,No,6400,67.73,63100,245
Not Hispanic or Latino,White,Joint,0,105000,NA,575000,173,9,2,,2,5,,,2,1,2,45-54,No,5423,37.53,110300,151
Hispanic or Latino,Race Not Available,Joint,1,215000,6.625,305000,154,2,1,,2,6,,,2,1,2,35-44,No,6855,78.57,89300,138
Hispanic or Latino,Race Not Available,Female,1,165000,5.99,325000,134,2,1,,2,6,,,2,2,2,<25,No,8901,84.16,126000,55
Hispanic or Latino,White,Male,0,5000,NA,195000,44,3,1,14,2,5,,,2,1,2,55-64,No,6580,84.19,110300,49
Not Hispanic or Latino,White,Female,1,175000,6.99,195000,58,2,2,,2,5,,,2,2,2,45-54,No,5602,43.11,126000,160
Hispanic or Latino,White,Female,1,245000,5.625,255000,52,7,1,11,2,5,,,2,2,2,35-44,No,6253,86.95,97400,58
Not Hispanic or Latino,White,Joint,1,145000,7.375,655000,49,3,2,,2,5,,,2,2,2,25-34,No,12984,14.42,135900,64
Not Hispanic or Latino,White,Male,1,615000,7.625,825000,959,3,2,,2,5,,,2,1,2,45-54,No,4216,10.51,101900,149
Not Hispanic or Latino,White,Female,1,455000,7,875000,NA,2,2,,2,5,,,2,2,2,45-54,No,3233,87.47,133300,36
Not Hispanic or Latino,White,Joint,1,495000,6.49,1375000,321,2,2,,2,5,,,2,1,2,65-74,Yes,1402,4.21,101900,135
Not Hispanic or Latino,White,Male,1,215000,7.5,285000,95,1,2,,2,5,,,2,1,2,25-34,No,8363,29.75,114800,39
Not Hispanic or Latino,White,Joint,1,145000,7,185000,49,3,2,,2,5,,,2,2,2,25-34,No,12984,14.42,135900,64
Not Hispanic or Latino,White,Male,1,775000,7.375,1125000,NA,1,2,,2,5,,,2,1,2,45-54,No,7374,21.3,156200,112
Hispanic or Latino,White,Female,0,145000,NA,175000,143,2,1,12,2,5,,,2,2,2,35-44,No,5693,65.48,101900,70
Not Hispanic or Latino,White,Male,1,645000,7.125,935000,NA,1,2,,2,5,,,2,1,2,35-44,No,5978,25.71,135900,109
Not Hispanic or Latino,White,Male,1,335000,7.625,475000,274,2,2,,2,5,,,2,1,2,35-44,No,5189,39.02,114800,126
Ethnicity Not Available,Race Not Available,Male,1,505000,7.25,565000,219,1,3,,2,6,,,2,1,2,<25,No,3614,24.16,135900,54
Not Hispanic or Latino,Race Not Available,Male,1,745000,8.75,995000,NA,1,2,,2,6,,,2,1,2,35-44,No,2970,90.34,101900,69
Not Hispanic or Latino,White,Male,1,755000,7.875,1505000,NA,2,2,,2,5,,,2,1,2,35-44,No,4750,39.35,101900,103
Not Hispanic or Latino,White,Female,1,745000,7.625,1005000,1452,3,2,,2,5,,,2,2,2,55-64,No,4216,10.51,101900,149
Not Hispanic or Latino,White,Male,0,695000,NA,925000,NA,2,2,,2,5,,,2,1,2,55-64,No,7374,21.3,156200,112
Not Hispanic or Latino,White,Female,1,155000,6.875,795000,119,3,2,,2,5,,,2,2,2,35-44,No,4824,30.02,101900,222
Not Hispanic or Latino,White,Joint,1,535000,6.125,685000,180,1,2,,2,5,,,2,1,2,25-34,No,4512,22.87,135900,89
Not Hispanic or Latino,White,Male,1,685000,6.875,1255000,NA,3,2,,2,5,,,2,1,2,55-64,No,7949,99.03,101900,82
Hispanic or Latino,White,Female,1,215000,6.99,305000,94,1,1,,2,5,,,2,2,2,55-64,No,3163,29.05,135900,85
Not Hispanic or Latino,White,Male,1,1305000,7.275,2465000,648,1,2,,2,5,,,2,1,2,45-54,No,2832,24.47,101900,113
Not Hispanic or Latino,White,Male,1,455000,7.5,505000,150,2,2,,2,5,,,2,1,2,25-34,No,10354,32.65,135900,47
Not Hispanic or Latino,White,Male,1,925000,7.75,1235000,NA,3,2,,2,5,,,2,1,2,35-44,No,3729,72.83,101900,95
Hispanic or Latino,Black or African American,Female,0,545000,NA,725000,244,2,1,,2,3,,,2,2,2,35-44,No,5018,74.27,101900,286
Not Hispanic or Latino,White,Male,1,295000,7.875,395000,NA,1,2,,2,5,,,2,1,2,25-34,No,2518,32.21,83800,73
Not Hispanic or Latino,White,Male,1,635000,8.375,845000,NA,2,2,,2,5,,,2,1,2,35-44,No,4202,93.53,101900,161
Not Hispanic or Latino,White,Female,1,565000,7.125,805000,997,1,2,,2,5,,,2,2,2,45-54,No,5679,22.35,135900,129
Not Hispanic or Latino,White,Joint,1,625000,6.49,975000,600,9,2,,2,5,,,2,1,2,25-34,No,6971,18.25,156200,151
Not Hispanic or Latino,White,Joint,1,615000,6.5,655000,150,2,2,,2,5,,,2,1,2,25-34,No,3493,8.42,101900,34
Not Hispanic or Latino,White,Male,1,385000,7.75,515000,NA,3,2,,2,5,,,2,1,2,25-34,No,5819,29.3,135900,87
Not Hispanic or Latino,White,Female,1,985000,6.875,1665000,675,3,2,,2,5,,,2,2,2,55-64,No,8078,32.99,101900,0
Not Hispanic or Latino,Asian,Joint,0,125000,NA,165000,57,3,2,,2,2,,,2,1,2,25-34,No,4065,85.46,101900,102
Ethnicity Not Available,Race Not Available,Sex Not Available,1,1085000,7.25,1455000,NA,3,3,,2,6,,,2,3,2,55-64,Yes,5402,19.31,135900,127
Not Hispanic or Latino,Black or African American,Joint,1,735000,6.875,925000,189,9,2,,2,3,,,2,2,2,55-64,No,3243,13.04,101900,119
Not Hispanic or Latino,White,Male,1,505000,7.625,655000,NA,2,2,,2,5,,,2,1,2,25-34,No,6888,7.61,101900,27
Not Hispanic or Latino,White,Male,1,805000,7.25,1305000,NA,1,2,,2,5,,,2,1,2,35-44,No,2964,95.38,101900,46
Hispanic or Latino,White,Female,1,635000,6.75,705000,198,9,1,,2,5,,,2,2,2,45-54,No,2878,88.01,101900,60
Not Hispanic or Latino,Black or African American,Male,1,1055000,6.99,1405000,NA,2,2,,2,3,,,2,1,2,35-44,No,5044,60.63,156200,131
Not Hispanic or Latino,White,Male,1,2505000,7.625,4205000,3206,1,2,,2,5,,,2,1,2,35-44,No,2208,9.19,101900,203
Not Hispanic or Latino,White,Male,1,615000,7.25,735000,140,2,2,,2,5,,,2,1,2,25-34,No,8363,29.75,114800,39
Not Hispanic or Latino,White,Joint,1,375000,7.25,505000,NA,2,2,,2,5,,,2,2,2,55-64,No,6289,14.14,135900,84
Not Hispanic or Latino,White,Male,1,915000,7.125,1555000,NA,3,2,,2,5,,,2,1,2,65-74,Yes,4489,5.84,101900,67
Not Hispanic or Latino,White,Male,1,225000,7.875,385000,0,1,2,,2,5,,,2,1,2,35-44,No,6288,19.86,101900,147
Not Hispanic or Latino,White,Male,1,545000,7.5,745000,289,3,2,,2,5,,,2,1,2,45-54,No,4980,24.64,135900,84
Not Hispanic or Latino,White,Joint,1,695000,6.875,775000,183,3,2,,2,5,,,2,1,2,25-34,No,3225,24.99,135900,107
Not Hispanic or Latino,Race Not Available,Joint,1,735000,7,865000,205,2,2,,2,6,,,2,2,2,45-54,No,4076,46.54,156200,106
Not Hispanic or Latino,White,Male,1,305000,6.5,545000,77,1,2,,2,5,,,2,1,2,25-34,No,8363,29.75,114800,39
Not Hispanic or Latino,Race Not Available,Sex Not Available,1,185000,7.499,255000,350,3,2,,2,6,,,2,3,2,45-54,No,2315,51.66,83800,93
Not Hispanic or Latino,White,Female,1,315000,7.25,405000,107,9,2,,2,5,,,2,2,2,25-34,No,10137,21.92,135900,49
Not Hispanic or Latino,White,Joint,1,485000,6.99,625000,125,3,2,,2,5,,,2,1,2,35-44,No,5520,27.63,135900,82
Not Hispanic or Latino,White,Male,1,365000,8.25,505000,322,2,2,,2,5,,,2,1,2,35-44,No,4059,35.92,114800,108
Not Hispanic or Latino,White,Male,1,1155000,8.625,1445000,NA,9,2,,2,5,,,2,1,2,35-44,No,2414,40.27,101900,148
Not Hispanic or Latino,White,Joint,1,455000,6.5,825000,196,9,2,,2,5,,,2,1,2,35-44,No,4119,31.59,101900,173
Not Hispanic or Latino,Race Not Available,Male,1,275000,7.25,405000,NA,1,2,,2,6,,,2,1,2,35-44,No,5819,29.3,135900,87
Not Hispanic or Latino,White,Male,1,465000,7.5,725000,521,1,2,,2,5,,,2,1,2,25-34,No,4171,17.26,135900,151
Not Hispanic or Latino,White,Joint,1,905000,6.625,955000,400,3,2,,2,5,,,2,1,2,25-34,No,4513,18.5,135900,88
Hispanic or Latino,Black or African American,Male,1,605000,7.124,755000,241,3,1,14,2,3,,,2,1,2,35-44,No,1790,25.75,101900,124
Not Hispanic or Latino,Race Not Available,Male,1,685000,7.125,1035000,1776,3,2,,2,6,,,2,1,2,35-44,No,4750,25.07,101900,66
Not Hispanic or Latino,White,Male,1,305000,6.625,705000,910,1,2,,2,5,,,2,1,2,35-44,No,11817,8.5,135900,41
Not Hispanic or Latino,White,Joint,1,385000,7.375,555000,1893,2,2,,2,5,,,2,1,2,45-54,No,5978,25.71,135900,109
Not Hispanic or Latino,White,Male,1,395000,8.375,525000,NA,1,2,,2,5,,,2,1,2,<25,No,4381,16.53,135900,93
Not Hispanic or Latino,White,Male,0,615000,NA,825000,NA,2,2,,2,5,,,2,1,2,25-34,No,3403,8.79,135900,74
Not Hispanic or Latino,White,Joint,1,945000,7.625,1265000,277,3,2,,2,5,,,2,1,2,35-44,No,3204,9.14,101900,181
Not Hispanic or Latino,White,Female,0,1045000,NA,1305000,1206,9,2,,2,5,,,2,2,2,25-34,No,4824,30.02,101900,222
Not Hispanic or Latino,Black or African American,Male,0,115000,NA,155000,45,1,2,,2,3,,,2,1,2,35-44,No,5872,89.25,101900,46
Not Hispanic or Latino,Joint,Joint,1,725000,6.375,915000,232,9,2,,2,5,,,2,1,2,25-34,No,3332,52.82,101900,102
Not Hispanic or Latino,White,Male,1,505000,6.375,1105000,127,3,2,,2,5,,,2,1,2,65-74,Yes,4798,24.2,101900,130
Not Hispanic or Latino,Asian,Male,1,745000,6.625,925000,246,2,2,,2,2,,,2,1,2,35-44,No,3673,20.09,101900,253
Not Hispanic or Latino,Asian,Male,1,305000,7.375,395000,182,2,2,,2,2,,,2,1,2,65-74,Yes,7657,61.26,101900,105
Not Hispanic or Latino,White,Female,1,435000,6.99,565000,309,2,2,,2,5,,,2,2,2,<25,No,4484,23.22,135900,114
Not Hispanic or Latino,White,Male,1,245000,8.5,335000,NA,1,2,,2,5,,,2,1,2,45-54,No,1652,26.57,83800,110
Not Hispanic or Latino,White,Joint,1,465000,6.99,575000,90,9,2,,2,5,,,2,1,2,25-34,No,5150,46.83,135900,74
Not Hispanic or Latino,White,Female,1,555000,6.624,3705000,259,2,2,,2,5,,,2,2,2,55-64,Yes,2767,46.48,101900,89
Not Hispanic or Latino,White,Male,0,1125000,NA,1705000,1546,2,2,,2,5,,,2,1,2,25-34,No,4342,41.89,135900,57
Not Hispanic or Latino,White,Male,1,605000,6.75,955000,186,3,2,,2,5,,,2,1,2,25-34,No,5416,22.78,101900,125
Not Hispanic or Latino,White,Male,1,395000,6.5,495000,90,1,2,,2,5,,,2,1,2,25-34,No,5979,52.67,135900,135
Not Hispanic or Latino,White,Male,1,1425000,7.25,1925000,2623,1,2,,2,5,,,2,1,2,35-44,No,1695,13.98,101900,132
Not Hispanic or Latino,White,Joint,1,215000,6.99,895000,214,9,2,,2,5,,,2,1,2,35-44,No,3663,11,156200,120
Not Hispanic or Latino,Race Not Available,Joint,1,715000,7.124,775000,163,1,2,,2,6,,,2,1,2,25-34,No,5666,36.97,135900,64
Not Hispanic or Latino,Asian,Female,1,425000,8.25,525000,169,1,2,,2,2,,,2,2,2,25-34,No,6007,22.26,135900,178
Not Hispanic or Latino,White,Male,1,205000,9.125,1955000,300,1,2,,2,5,,,2,1,2,35-44,No,7553,18.1,135900,97
Not Hispanic or Latino,Race Not Available,Female,1,545000,6.625,565000,131,9,2,,2,6,,,2,2,2,35-44,No,5556,98.34,156200,50
Not Hispanic or Latino,Asian,Male,1,555000,7.125,695000,154,1,2,,2,2,21,,2,1,2,35-44,No,6500,51.77,156200,97
Not Hispanic or Latino,Asian,Male,1,1235000,7.375,2435000,NA,1,2,,2,2,21,,2,1,2,35-44,No,4209,81.68,101900,77
Not Hispanic or Latino,Race Not Available,Male,1,765000,8.25,1065000,NA,2,2,,2,6,,,2,1,2,35-44,No,4284,27.43,135900,123
Not Hispanic or Latino,White,Female,1,205000,6.49,675000,70,3,2,,2,5,,,2,2,2,25-34,No,3770,47.16,101900,188
Not Hispanic or Latino,White,Male,1,775000,8.625,1115000,NA,1,2,,2,5,,,2,1,2,35-44,No,1993,43.35,101900,138
Not Hispanic or Latino,Black or African American,Male,0,535000,NA,555000,179,2,2,,2,3,,,2,1,2,25-34,No,4302,50.77,156200,93
Not Hispanic or Latino,Race Not Available,Joint,1,735000,7,865000,208,9,2,,2,6,,,2,2,2,45-54,No,4076,46.54,156200,106
Not Hispanic or Latino,White,Male,1,995000,6.99,1655000,0,1,2,,2,5,,,2,1,2,25-34,No,4071,72.81,101900,120
Not Hispanic or Latino,White,Male,1,355000,8.625,445000,NA,3,2,,2,5,,,2,1,2,35-44,No,1546,27.94,83800,105
Not Hispanic or Latino,White,Male,1,1405000,6.625,2805000,NA,3,2,,2,5,,,2,1,2,45-54,No,4800,85.04,101900,35
Not Hispanic or Latino,White,Female,1,385000,6.5,515000,325,1,2,,2,5,,,2,2,2,35-44,No,6476,19.05,135900,125
Not Hispanic or Latino,Race Not Available,Joint,1,1425000,7.375,2065000,354,3,2,,2,6,,,2,2,2,65-74,Yes,6652,22.91,101900,240
Not Hispanic or Latino,White,Male,1,1125000,6.875,2605000,24820,1,2,,2,5,,,2,1,2,35-44,No,6809,10.49,156200,158
Not Hispanic or Latino,White,Male,1,935000,7.5,1345000,NA,3,2,,2,5,,,2,1,2,45-54,No,6518,98.4,101900,41
Not Hispanic or Latino,White,Male,0,385000,NA,525000,NA,1,2,,2,5,,,2,1,2,35-44,No,3246,69.75,135900,38
Not Hispanic or Latino,White,Female,1,445000,6.875,915000,206,9,2,,2,5,,,2,2,2,25-34,No,8832,26.65,135900,110
Not Hispanic or Latino,White,Male,1,375000,7.25,505000,NA,3,2,,2,5,,,2,1,2,25-34,No,4966,39.61,135900,50
Not Hispanic or Latino,White,Joint,1,765000,6.25,995000,152,9,2,,2,5,,,2,1,2,25-34,No,2481,12.17,101900,167
Not Hispanic or Latino,White,Male,1,515000,6.875,1475000,182,1,2,,2,5,,,2,1,2,35-44,No,7405,24.96,133300,160
Not Hispanic or Latino,White,Male,1,445000,7.75,635000,NA,1,2,,2,5,,,2,1,2,55-64,No,7336,87.5,133300,62
Not Hispanic or Latino,White,Male,1,445000,7.875,575000,NA,1,2,,2,5,,,2,1,2,35-44,No,4824,30.02,101900,222
Not Hispanic or Latino,White,Male,1,425000,8,565000,NA,3,2,,2,5,,,2,1,2,25-34,No,3614,24.16,135900,54
Not Hispanic or Latino,White,Male,1,255000,6.99,455000,NA,3,2,,2,5,,,2,1,2,45-54,No,12850,17.49,135900,33
Ethnicity Not Available,Race Not Available,Sex Not Available,1,315000,10.74,385000,NA,9,4,,3,7,,,3,4,3,8888,NA,0,0,0,0
Not Hispanic or Latino,White,Female,1,465000,7.625,625000,NA,3,2,,2,5,,,2,2,2,>74,Yes,4127,9.64,135900,65
Not Hispanic or Latino,White,Joint,0,1565000,NA,1655000,143,9,2,,2,5,,,2,1,2,25-34,No,1748,84.9,101900,62
Ethnicity Not Available,White,Joint,1,655000,6.49,735000,181,9,3,,2,5,,,2,1,2,35-44,No,5672,25.86,114800,108
Hispanic or Latino,White,Female,1,255000,7,265000,79,1,1,,2,5,,,2,2,2,45-54,No,4407,7.44,135900,43
Ethnicity Not Available,White,Joint,1,495000,6.375,2005000,335,1,3,,2,5,,,2,1,2,65-74,Yes,3717,24.08,101900,175
Not Hispanic or Latino,White,Female,1,175000,6.375,545000,56,3,2,,2,5,,,2,2,2,25-34,No,5609,37.53,101900,179
Not Hispanic or Latino,White,Male,1,1505000,7.125,2355000,506,2,2,,2,5,,,2,1,2,45-54,No,1042,7.77,101900,203
Not Hispanic or Latino,White,Male,1,1685000,7.75,2255000,NA,3,2,,2,5,,,2,1,2,35-44,No,5922,44.17,101900,67
Not Hispanic or Latino,White,Male,1,535000,6.625,675000,453,9,2,,2,5,,,2,1,2,25-34,No,3023,58.02,101900,76
Not Hispanic or Latino,Race Not Available,Female,1,765000,6.624,825000,164,3,2,,2,6,,,2,2,2,35-44,No,6809,10.49,156200,158
Not Hispanic or Latino,White,Male,1,505000,6.5,625000,104,2,2,,2,5,,,2,1,2,25-34,No,8363,29.75,114800,39
Not Hispanic or Latino,White,Male,1,1055000,7.25,1405000,824,1,2,,2,5,,,2,1,2,35-44,No,7452,32.64,114800,34
Ethnicity Not Available,Race Not Available,Male,1,555000,7.375,1055000,198,3,3,,2,6,,,2,1,2,45-54,No,4461,96.12,101900,73
Not Hispanic or Latino,White,Male,1,515000,7,645000,1479,2,2,,2,5,,,2,1,2,25-34,No,8363,29.75,114800,39
Not Hispanic or Latino,White,Female,1,1005000,6.875,2205000,372,1,2,,2,5,,,2,2,2,65-74,Yes,5157,13.98,135900,182
Not Hispanic or Latino,White,Joint,1,605000,6.75,755000,182,9,2,,2,5,,,2,1,2,25-34,No,4384,17.52,101900,148
Not Hispanic or Latino,Race Not Available,Male,0,305000,NA,335000,0,1,2,,2,6,,,2,1,2,35-44,No,6659,22.65,101900,292
Not Hispanic or Latino,White,Male,1,965000,7.49,1555000,651,2,2,,2,5,,,2,1,2,35-44,No,7369,9.38,156200,116
Not Hispanic or Latino,White,Male,1,1385000,6.75,1755000,456,3,2,,2,5,,,2,1,2,35-44,No,5062,17.82,156200,138
Not Hispanic or Latino,White,Male,1,255000,6.625,335000,131,1,2,,2,5,,,2,1,2,25-34,No,3075,46.08,101900,124
Ethnicity Not Available,White,Male,1,195000,8.375,245000,NA,1,3,,2,5,,,2,1,2,45-54,No,3990,68.05,101900,71
Not Hispanic or Latino,White,Female,1,895000,7.875,1165000,NA,1,2,,2,5,,,2,2,2,35-44,No,4342,41.89,135900,57
Not Hispanic or Latino,White,Male,1,705000,7.125,875000,215,2,2,,2,5,,,2,1,2,25-34,No,3023,58.02,101900,76
Not Hispanic or Latino,White,Male,1,185000,9.125,255000,NA,1,2,,2,5,,,2,1,2,35-44,No,5500,91.42,101900,109
Not Hispanic or Latino,White,Male,1,695000,7,1125000,231,2,2,,2,5,,,2,1,2,35-44,No,7262,31.3,156200,101
Not Hispanic or Latino,White,Male,1,715000,6.875,765000,166,3,2,,2,5,,,2,1,2,25-34,No,6888,7.61,101900,27
Hispanic or Latino,White,Joint,1,305000,6.625,465000,104,9,1,,2,5,,,2,1,2,25-34,No,5291,46.23,101900,162
Not Hispanic or Latino,Race Not Available,Male,1,505000,7.5,945000,NA,1,2,,2,6,,,2,1,2,65-74,Yes,5082,25.72,133300,118
Not Hispanic or Latino,White,Male,1,875000,7.49,1255000,765,1,2,,2,5,,,2,1,2,35-44,No,5583,22.89,135900,78
Not Hispanic or Latino,White,Male,1,355000,7.875,475000,NA,9,2,,2,5,,,2,1,2,25-34,No,4249,19.02,135900,111
Not Hispanic or Latino,White,Male,1,355000,6.5,735000,93,1,2,,2,5,,,2,1,2,45-54,No,5020,44.02,101900,115
Not Hispanic or Latino,White,Female,1,275000,8.125,525000,201,1,2,,2,5,,,2,2,2,35-44,No,6386,46.01,101900,125
Not Hispanic or Latino,White,Female,1,855000,7.49,955000,272,2,2,,2,5,,,2,2,2,35-44,No,2703,13.36,101900,161
Not Hispanic or Latino,Black or African American,Joint,1,555000,6.875,685000,230,9,2,,2,3,,,2,2,2,55-64,No,5558,84.99,156200,84
Not Hispanic or Latino,White,Joint,1,675000,6.875,845000,427,9,2,,2,5,,,2,1,2,25-34,No,6000,27.62,135900,124
Not Hispanic or Latino,White,Male,1,285000,7.875,385000,NA,3,2,,2,5,,,2,1,2,45-54,No,5113,52.88,117200,58
Not Hispanic or Latino,Race Not Available,Male,1,365000,6.5,465000,98,3,2,,2,6,,,2,1,2,35-44,No,4240,86.93,101900,76
Not Hispanic or Latino,White,Joint,1,675000,6.99,835000,166,9,2,,2,5,,,2,1,2,35-44,No,8832,26.65,135900,110
Ethnicity Not Available,Asian,Male,1,815000,6.75,845000,226,3,3,,2,2,,,2,1,2,45-54,No,8072,98.28,101900,112
Not Hispanic or Latino,Race Not Available,Male,1,245000,7.25,345000,NA,1,2,,2,6,,,2,1,2,35-44,No,3643,51.19,135900,75
Not Hispanic or Latino,White,Male,1,495000,6.5,955000,148,2,2,,2,5,,,2,1,2,25-34,No,3968,54.13,101900,90
Not Hispanic or Latino,White,Male,1,635000,6.625,715000,258,3,2,,2,5,,,2,1,2,55-64,No,4501,39.08,101900,101
Ethnicity Not Available,Race Not Available,Male,1,345000,7,515000,NA,1,3,,2,6,,,2,1,2,35-44,No,5135,19.57,135900,102
Not Hispanic or Latino,White,Male,1,705000,6.75,885000,1935,2,2,,2,5,,,2,1,2,25-34,No,2226,25.29,101900,103
Not Hispanic or Latino,White,Joint,1,725000,6.624,975000,191,9,2,,2,5,,,2,1,2,25-34,No,1934,19.34,101900,180
Not Hispanic or Latino,White,Male,1,2925000,8.375,4605000,NA,3,2,,2,5,,,2,1,2,35-44,No,2005,17.51,101900,77
Not Hispanic or Latino,White,Female,1,525000,6.625,705000,70,3,2,,2,5,,,2,2,2,45-54,No,5208,86.04,156200,44
Not Hispanic or Latino,White,Male,1,2175000,7.5,3365000,NA,2,2,,2,5,,,2,1,2,35-44,No,3674,80.57,101900,98
Not Hispanic or Latino,Race Not Available,Male,1,495000,6.75,665000,91,9,2,,2,6,,,2,1,2,25-34,No,6719,11.92,101900,131
Not Hispanic or Latino,Black or African American,Female,1,625000,7.125,695000,212,9,2,,2,3,,,2,2,2,65-74,Yes,4981,51.84,114800,128
Not Hispanic or Latino,White,Joint,1,535000,6.75,635000,162,3,2,,2,5,,,2,2,2,25-34,No,4824,30.02,101900,222
Not Hispanic or Latino,White,Male,1,335000,7.625,455000,1356,2,2,,2,5,,,2,1,2,25-34,No,5821,18.02,135900,77
Not Hispanic or Latino,White,Female,1,295000,6.5,1855000,69,2,2,,2,5,,,2,2,2,65-74,Yes,5922,44.17,101900,67
Not Hispanic or Latino,White,Male,1,685000,6.874,755000,338,1,2,,2,5,,,2,1,2,<25,No,4216,10.51,101900,149
Not Hispanic or Latino,White,Female,0,145000,NA,185000,73,3,2,,2,5,,,2,2,2,45-54,No,2510,46.89,101900,95
Not Hispanic or Latino,White,Male,1,375000,7.25,585000,NA,1,2,,2,5,,,2,1,2,55-64,No,5135,19.57,135900,102
Ethnicity Not Available,Race Not Available,Sex Not Available,1,535000,8.4433,175000,NA,9,4,,3,7,,,3,4,3,8888,NA,0,0,0,0
Not Hispanic or Latino,White,Female,1,1005000,6.75,1855000,1337,1,2,,2,5,,,2,2,2,>74,Yes,1042,7.77,101900,203
Not Hispanic or Latino,White,Male,1,1835000,8.625,2505000,NA,3,2,,2,5,,,2,1,2,35-44,No,5497,35.91,97400,100
Not Hispanic or Latino,White,Joint,1,705000,7.125,875000,145,9,2,,2,5,,,2,1,2,25-34,No,4512,22.87,135900,89
Not Hispanic or Latino,White,Male,1,585000,7.375,775000,783,3,2,,2,5,,,2,1,2,45-54,No,9136,20.92,135900,107
Not Hispanic or Latino,Asian,Female,1,405000,6.5,995000,128,2,2,,2,2,25,,2,2,2,35-44,No,2401,51.23,101900,128
Not Hispanic or Latino,White,Male,1,405000,6.49,1205000,466,3,2,,2,5,,,2,1,2,35-44,No,3800,28.45,98200,273
Not Hispanic or Latino,White,Female,1,265000,7.875,395000,0,2,2,,2,5,,,2,2,2,35-44,No,2909,81.71,156200,46
Not Hispanic or Latino,White,Joint,1,635000,6.625,715000,304,3,2,,2,5,,,2,1,2,55-64,No,4501,39.08,101900,101
Not Hispanic or Latino,White,Male,1,705000,7.125,1055000,NA,1,2,,2,5,,,2,1,2,35-44,No,4342,41.89,135900,57
Not Hispanic or Latino,White,Joint,1,615000,6.5,655000,247,9,2,,2,5,,,2,1,2,35-44,No,2580,96.09,101900,79
Not Hispanic or Latino,White,Male,1,375000,6.624,505000,230,1,2,,2,5,,,2,1,2,25-34,No,5476,30.06,135900,96
Not Hispanic or Latino,White,Male,1,425000,7.125,615000,NA,1,2,,2,5,,,2,1,2,35-44,No,4342,41.89,135900,57
Not Hispanic or Latino,White,Male,1,265000,6.99,325000,301,3,2,,2,5,,,2,1,2,25-34,No,4939,7.9,135900,63
Not Hispanic or Latino,White,Male,1,1145000,7.625,1925000,959,3,2,,2,5,,,2,1,2,45-54,No,6454,10.69,135900,78
Not Hispanic or Latino,White,Male,1,755000,7,1355000,210,9,2,,2,5,,,2,1,2,35-44,No,7162,44.83,135900,132
Not Hispanic or Latino,White,Male,1,765000,6.625,955000,200,2,2,,2,5,,,2,1,2,25-34,No,8832,26.65,135900,110
Not Hispanic or Latino,White,Male,1,1205000,7.75,1525000,942,1,2,,2,5,,,2,1,2,25-34,No,4548,20.21,135900,124
Not Hispanic or Latino,White,Joint,1,595000,6.875,755000,117,1,2,,2,5,,,2,1,2,25-34,No,4548,20.21,135900,124
Not Hispanic or Latino,White,Male,1,505000,7.625,655000,NA,2,2,,2,5,,,2,1,2,25-34,No,6888,7.61,101900,27
